iter	PRAUC	Logloss
0	0.8099305466	0.6717102294
1	0.8055317246	0.6542772314
2	0.8080538473	0.6379743391
3	0.8146885497	0.6230323897
4	0.8175063114	0.6091815364
5	0.8209085407	0.5966519374
6	0.82363098	0.5855548625
7	0.825740346	0.5760654463
8	0.8266601647	0.5673862638
9	0.8287205499	0.5596128577
10	0.8292283655	0.5521503975
11	0.8288371755	0.5472677291
12	0.8291896068	0.5423734565
13	0.8288220473	0.5374937925
14	0.8301801024	0.5320962147
15	0.8302118082	0.5288041694
16	0.8300433773	0.525033219
17	0.831662231	0.5209241435
18	0.8320675573	0.5169453637
19	0.832090694	0.5138102824
20	0.8322245281	0.5106972852
21	0.832390836	0.5074125231
22	0.8336018088	0.5042846391
23	0.8343840587	0.5018176526
24	0.8348013675	0.4996784048
25	0.8353336563	0.4982012024
26	0.8373023981	0.4958220734
27	0.8383781081	0.493758027
28	0.8383208018	0.492988075
29	0.8402295116	0.4909177427
30	0.8402868105	0.4904354768
31	0.8404411325	0.4886117008
32	0.8404568266	0.4872201732
33	0.8411998189	0.4858679946
34	0.8418005021	0.4842147579
35	0.8420494588	0.4828929916
36	0.8423558908	0.4815453661
37	0.8427050501	0.4804203329
38	0.842784473	0.4796905957
39	0.8427542766	0.4790975043
40	0.8426741718	0.4788531686
41	0.8431276798	0.4781017473
42	0.8434241505	0.4773454363
43	0.8436487136	0.4768014688
44	0.8438369262	0.4758572299
45	0.8441746895	0.4750585317
46	0.8445603574	0.4745383107
47	0.8444731382	0.4741433743
48	0.8447818022	0.4732427107
49	0.8448167403	0.4726712657
50	0.8450260138	0.472137151
51	0.8455152298	0.4710374118
52	0.8457058613	0.4704877915
53	0.8457790127	0.4699551321
54	0.8458494304	0.4696575883
55	0.8460756669	0.4692479635
56	0.8462180063	0.46882892
57	0.8461941867	0.4687644793
58	0.8462359028	0.4683050586
59	0.8465082063	0.4676327833
60	0.8468489057	0.4666401737
61	0.846936261	0.4662894514
62	0.8471351419	0.4659141241
63	0.8473400268	0.465450452
64	0.8473547129	0.4653824072
65	0.8478354175	0.464689771
66	0.8478897778	0.464421541
67	0.8478681442	0.4642255283
68	0.8480890914	0.463824755
69	0.848519244	0.4631424108
70	0.84880376	0.462683247
71	0.8489605858	0.4622527955
72	0.8491634973	0.4619699505
73	0.8494316569	0.4613402613
74	0.8494316569	0.461340223
75	0.8495554083	0.4609365942
76	0.8496570662	0.4608038128
77	0.8497477066	0.4603931796
78	0.8501446595	0.4597659403
79	0.8502165698	0.4595629322
80	0.8503955125	0.4592313467
81	0.8504769407	0.4590827998
82	0.8505959681	0.4588152889
83	0.8505829957	0.458737939
84	0.8506193443	0.4586337416
85	0.8509191076	0.4577929923
86	0.8512325189	0.4570766946
87	0.8513603609	0.4567563339
88	0.8517161213	0.4561307987
89	0.8517696405	0.4559983367
90	0.8517893387	0.4559575951
91	0.8519002882	0.4557139245
92	0.8520953947	0.4554363058
93	0.8521216983	0.4552974523
94	0.852136351	0.4552492826
95	0.8522322203	0.4549255182
96	0.8522210581	0.4549179852
97	0.8524040571	0.4545012605
98	0.8524092473	0.4544977497
99	0.8525302215	0.4541563879
100	0.8526407493	0.453833293
101	0.852849917	0.4533051558
102	0.8530712666	0.4530753513
103	0.8531984346	0.4525601235
104	0.8532677774	0.4524813456
105	0.8533327038	0.4523579774
106	0.8535035065	0.4520400754
107	0.8535497426	0.4519521602
108	0.8538520387	0.4515025448
109	0.8538520387	0.4515025413
110	0.8539056604	0.4514528335
111	0.8539578491	0.451330126
112	0.8540302178	0.4511683427
113	0.8543774717	0.4507228996
114	0.8544880036	0.4505429633
115	0.8546619411	0.4503098435
116	0.85476443	0.4501211326
117	0.8549834463	0.4497113787
118	0.8552201126	0.4493216019
119	0.8552521122	0.4493026098
120	0.8553109909	0.4490446413
121	0.8556795327	0.4487044196
122	0.8559644814	0.4480140301
123	0.855994848	0.4478855476
124	0.8560137262	0.4478763351
125	0.8560648543	0.4477696859
126	0.8560601261	0.4477665529
127	0.8561142478	0.4477171333
128	0.8561142478	0.4477171332
129	0.8561142478	0.447717133
130	0.8562235775	0.4472953662
131	0.8562235775	0.4472953624
