iter	Passed	Remaining
0	57	22254
1	114	22037
2	185	23866
3	249	23925
4	305	23365
5	364	23223
6	416	22679
7	471	22418
8	532	22418
9	588	22248
10	654	22423
11	693	21740
12	748	21593
13	826	22091
14	877	21819
15	907	21108
16	972	21233
17	1024	21049
18	1064	20675
19	1107	20376
20	1148	20076
21	1201	19987
22	1259	19990
23	1317	19987
24	1364	19809
25	1420	19782
26	1473	19702
27	1524	19600
28	1550	19190
29	1596	19052
30	1614	18595
31	1662	18496
32	1727	18584
33	1778	18512
34	1833	18490
35	1884	18430
36	1930	18309
37	1970	18144
38	2012	18007
39	2040	17754
40	2076	17575
41	2116	17436
42	2155	17296
43	2198	17187
44	2240	17081
45	2291	17035
46	2341	16984
47	2390	16932
48	2438	16870
49	2489	16829
50	2533	16742
51	2572	16624
52	2611	16506
53	2645	16362
54	2696	16328
55	2740	16249
56	2779	16141
57	2800	15931
58	2857	15932
59	2898	15844
60	2950	15816
61	3007	15812
62	3075	15864
63	3119	15794
64	3137	15590
65	3185	15539
66	3231	15482
67	3282	15447
68	3324	15369
69	3374	15331
70	3417	15256
71	3455	15163
72	3492	15069
73	3544	15040
74	3555	14836
75	3598	14771
76	3644	14719
77	3691	14670
78	3737	14617
79	3778	14548
80	3825	14500
81	3853	14380
82	3899	14329
83	3963	14345
84	4010	14294
85	4055	14240
86	4098	14179
87	4141	14120
88	4183	14054
89	4236	14027
90	4266	13924
91	4309	13864
92	4350	13800
93	4396	13750
94	4439	13692
95	4486	13647
96	4518	13555
97	4565	13511
98	4589	13397
99	4628	13330
100	4676	13289
101	4727	13255
102	4772	13206
103	4812	13140
104	4855	13085
105	4886	13000
106	4935	12961
107	4985	12925
108	5028	12872
109	5037	12730
110	5080	12678
111	5129	12639
112	5170	12583
113	5211	12524
114	5255	12476
115	5319	12473
116	5379	12459
117	5438	12442
118	5486	12401
119	5505	12296
120	5546	12239
121	5590	12189
122	5631	12131
123	5682	12097
124	5699	11990
125	5742	11940
126	5759	11835
