SeniorCitizen,Partner,Dependents,tenure,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn,avg_monthly_spend,streaming_count,security_support_count
0,1,0,1,DSL,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,29.85,0,29.85,0,1
0,0,0,34,DSL,Yes,No,Yes,No,No,No,One year,0,Mailed check,56.95,0,55.57353,0,2
0,0,0,2,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,Mailed check,53.85,1,54.075,0,2
0,0,0,45,DSL,Yes,No,Yes,Yes,No,No,One year,0,Bank transfer (automatic),42.3,0,40.905556,0,3
0,0,0,2,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.7,1,75.825,0,0
0,0,0,8,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,99.65,1,102.5625,2,1
0,0,1,22,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Credit card (automatic),89.1,0,88.60909,1,1
0,0,0,10,DSL,Yes,No,No,No,No,No,Month-to-month,0,Mailed check,29.75,0,30.19,0,1
0,1,0,28,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,104.8,1,108.7875,2,2
0,0,1,62,DSL,Yes,Yes,No,No,No,No,One year,0,Bank transfer (automatic),56.15,0,56.25726,0,2
0,1,1,13,DSL,Yes,No,No,No,No,No,Month-to-month,1,Mailed check,49.95,0,45.18846,0,1
0,0,0,16,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),18.95,0,20.425,0,0
0,1,0,58,Fiber optic,No,No,Yes,No,Yes,Yes,One year,0,Credit card (automatic),100.35,0,97.95,2,1
0,0,0,49,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),103.7,1,102.78163,2,2
0,0,0,25,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,105.5,0,107.442,2,3
0,1,1,69,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),113.25,0,114.42246,2,4
0,0,0,52,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.65,0,19.672115,0,0
0,0,1,71,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,0,Bank transfer (automatic),106.7,0,103.97535,2,2
0,1,1,10,DSL,No,No,Yes,Yes,No,No,Month-to-month,0,Credit card (automatic),55.2,1,52.835,0,2
0,0,0,21,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Electronic check,90.05,0,88.709526,1,2
1,0,0,1,DSL,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,39.65,1,39.65,1,1
0,1,0,12,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),19.8,0,16.854166,0,0
0,0,0,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.15,1,20.15,0,0
0,1,0,58,DSL,No,Yes,No,Yes,No,No,Two year,1,Credit card (automatic),59.9,0,60.43276,0,2
0,1,1,49,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,0,Credit card (automatic),59.6,0,60.618366,0,3
0,0,0,30,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,Bank transfer (automatic),55.3,0,51.02,0,2
0,1,1,47,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,99.35,1,101.045746,2,1
0,1,1,1,DSL,No,Yes,No,No,No,No,Month-to-month,0,Electronic check,30.2,1,30.2,0,1
