feature,type,value
num__tenure,impurity_importance,0.17039623772663026
num__avg_monthly_spend,impurity_importance,0.14595567502921536
num__MonthlyCharges,impurity_importance,0.13931091645367616
cat__Contract_Month-to-month,impurity_importance,0.07635156756902056
cat__Contract_Two year,impurity_importance,0.04170338679459802
cat__OnlineSecurity_No,impurity_importance,0.03245799406928602
cat__PaymentMethod_Electronic check,impurity_importance,0.029590515565957567
cat__InternetService_Fiber optic,impurity_importance,0.028609410813328524
cat__TechSupport_No,impurity_importance,0.027877566881602648
num__security_support_count,impurity_importance,0.026068339999167498
num__PaperlessBilling,impurity_importance,0.023954032612558088
num__Partner,impurity_importance,0.022972328704647528
num__Dependents,impurity_importance,0.019793148704307793
num__SeniorCitizen,impurity_importance,0.016236405272127743
cat__Contract_One year,impurity_importance,0.01607068710951271
num__streaming_count,impurity_importance,0.013862120018276556
cat__OnlineBackup_No,impurity_importance,0.013340048410043832
cat__PaymentMethod_Bank transfer (automatic),impurity_importance,0.012954017650836912
cat__PaymentMethod_Credit card (automatic),impurity_importance,0.012796193724775765
cat__PaymentMethod_Mailed check,impurity_importance,0.011530292233278679
cat__DeviceProtection_No,impurity_importance,0.011401782278894516
cat__InternetService_DSL,impurity_importance,0.010289124927361833
cat__OnlineBackup_Yes,impurity_importance,0.010084751492685498
cat__TechSupport_Yes,impurity_importance,0.009303317686082125
cat__OnlineSecurity_Yes,impurity_importance,0.009283360300528827
cat__DeviceProtection_Yes,impurity_importance,0.008954253036045154
cat__StreamingTV_Yes,impurity_importance,0.00831625577511513
cat__StreamingMovies_Yes,impurity_importance,0.008139745397910333
cat__StreamingMovies_No,impurity_importance,0.008135461308095011
cat__StreamingTV_No,impurity_importance,0.007887634097956757
cat__StreamingTV_No internet service,impurity_importance,0.004842560209480848
cat__StreamingMovies_No internet service,impurity_importance,0.004413559233901681
cat__InternetService_No,impurity_importance,0.004284337829917297
cat__OnlineBackup_No internet service,impurity_importance,0.0036915491522154726
cat__TechSupport_No internet service,impurity_importance,0.0034563910543052184
cat__OnlineSecurity_No internet service,impurity_importance,0.00294488367548509
cat__DeviceProtection_No internet service,impurity_importance,0.0027401472011709675
num__tenure,permutation_AP,0.11166993419380856
cat__InternetService_No,permutation_AP,0.09353321424876024
num__PaperlessBilling,permutation_AP,0.027721491915224508
num__security_support_count,permutation_AP,0.01566570864438052
cat__OnlineSecurity_Yes,permutation_AP,0.014253157172337508
cat__OnlineBackup_No,permutation_AP,0.012260191360308231
num__MonthlyCharges,permutation_AP,0.01050203554411365
num__SeniorCitizen,permutation_AP,0.003804898655404329
num__avg_monthly_spend,permutation_AP,0.0032976180834775187
cat__OnlineSecurity_No,permutation_AP,0.0022014420991543215
cat__OnlineBackup_Yes,permutation_AP,-9.595366509813907e-05
num__Dependents,permutation_AP,-0.0021167556459819326
num__streaming_count,permutation_AP,-0.0025180763856442745
cat__OnlineSecurity_No internet service,permutation_AP,-0.005354717514937157
cat__InternetService_Fiber optic,permutation_AP,-0.008065318341829511
num__Partner,permutation_AP,-0.009108067079107704
cat__OnlineBackup_No internet service,permutation_AP,-0.009249217558376821
cat__InternetService_DSL,permutation_AP,-0.015384959691062308
